name,total amount (4/1),rc_qty,rc_price,shopify_qty,shopify_price,__key__,shopify value,rc value,notes
1999 Pokémon Base Set Devolution Spray #72 PSA 7,1.0,1.0,17.99,,,1999 pokémon base set devolution spray #72 psa 7,,17.99,
"2001 Pokémon Japanese Darkness, and to Light... Shining Steelix #208 PSA 10",1.0,1.0,4400.0,,,"2001 pokémon japanese darkness, and to light... shining steelix #208 psa 10",,4400.0,
2008 Pokémon POP Series 8 Lucario #2 PSA 7,1.0,1.0,34.99,,,2008 pokémon pop series 8 lucario #2 psa 7,,34.99,
2009 Pokémon Supreme Victors Pikachu #120 PSA 8,0.0,0.0,19.99,,,2009 pokémon supreme victors pikachu #120 psa 8,,0.0,
2018 Pokémon Ultra Prism Looker #152 PSA 10,1.0,1.0,89.99,,,2018 pokémon ultra prism looker #152 psa 10,,89.99,
2019 Pokémon Unified Minds Aerodactyl-GX #244 PSA 9,1.0,1.0,39.99,,,2019 pokémon unified minds aerodactyl-gx #244 psa 9,,39.99,
2021 Pokemon Black Star Promo Blastoise VMAX Battle Box Blastoise VMAX CGC 10,1.0,1.0,64.99,,,2021 pokemon black star promo blastoise vmax battle box blastoise vmax cgc 10,,64.99,
2021 Pokémon Chilling Reign Shadow Rider Calyrex VMAX #205 PSA 9,1.0,1.0,79.99,,,2021 pokémon chilling reign shadow rider calyrex vmax #205 psa 9,,79.99,
2021 Pokémon Evolving Skies Leafeon VMAX #205 CGC 10,1.0,1.0,499.99,,,2021 pokémon evolving skies leafeon vmax #205 cgc 10,,499.99,
2022 Pokémon BSP Jirachi V SWSH#299 PSA 10,1.0,1.0,199.99,,,2022 pokémon bsp jirachi v swsh#299 psa 10,,199.99,
2023 Pokemon Black Star Promo Jirachi V Box CGC 10,1.0,1.0,149.99,,,2023 pokemon black star promo jirachi v box cgc 10,,149.99,
2023 Pokémon Scarlet & Violet Black Star Promos Teal Mask Ogerpon #123 CGC 10,1.0,1.0,249.99,,,2023 pokémon scarlet & violet black star promos teal mask ogerpon #123 cgc 10,,249.99,
2024 Pokemon Temporal Forces Gouging Fire ex CGC 10,1.0,1.0,149.99,,,2024 pokemon temporal forces gouging fire ex cgc 10,,149.99,
2024 Pokémon Paldean Fates Gardevoir ex #233 PSA 10,1.0,1.0,289.99,,,2024 pokémon paldean fates gardevoir ex #233 psa 10,,289.99,
2024 Pokémon Stellar Crown Raging Bolt #111/142 CGC 10,1.0,1.0,49.99,,,2024 pokémon stellar crown raging bolt #111/142 cgc 10,,49.99,
"Chilling Reign 2 Pack Blister [Galarian Zapdos V, Articuno V, Moltres V]",8.0,8.0,29.99,,,"chilling reign 2 pack blister [galarian zapdos v, articuno v, moltres v]",,239.92,
Rise of the Floodborn Booster Box,,2.0,149.95,2.0,152.0,rise of the floodborn booster box,304.0,299.9,
Combined Powers Premium Collection,0.0,,,1.0,56.75,combined powers premium collection,56.75,,
Phantom Forces Booster Pack [MJ Holdings],0.0,,,1.0,199.99,phantom forces booster pack [mj holdings],199.99,,
Sword and Shield Base Set Sleeved Booster Pack,0.0,,,26.0,9.49,sword and shield base set sleeved booster pack,246.74,,
151 Zapdos ex Collection Box,1.0,,,1.0,49.49,151 zapdos ex collection box,49.49,,
2023 Holiday Calendar,1.0,,,1.0,45.99,2023 holiday calendar,45.99,,
2024 Battle Academy Box,1.0,,,1.0,21.99,2024 battle academy box,21.99,,
2024 Holiday Calendar,1.0,,,1.0,56.99,2024 holiday calendar,56.99,,
Celebrations International Tin [Lance’s Charizard V],1.0,,,0.0,41.99,celebrations international tin [lance’s charizard v],0.0,,
Detective Pikachu Charizard GX Case File,1.0,,,1.0,99.71,detective pikachu charizard gx case file,99.71,,
Galar Partners International Tin [Inteleon V],1.0,,,1.0,69.99,galar partners international tin [inteleon v],69.99,,
Galar Partners International Tin [Rillaboom V],1.0,,,1.0,73.99,galar partners international tin [rillaboom v],73.99,,
Hidden Fates Poké Ball Collection [Shiny Zoroark GX],1.0,,,1.0,319.99,hidden fates poké ball collection [shiny zoroark gx],319.99,,
Japanese 151 Card File Collection [Charizard],1.0,,,1.0,74.99,japanese 151 card file collection [charizard],74.99,,
Japanese Super Electric Breaker Booster Box,1.0,,,1.0,89.99,japanese super electric breaker booster box,89.99,,
Evolution Celebration Tin [Leafeon GX],1.0,,,1.0,84.99,evolution celebration tin [leafeon gx],84.99,,
Legends of Alola Tin [Solgaleo GX],1.0,,,1.0,94.99,legends of alola tin [solgaleo gx],94.99,,
Marshadow Figure Collection,1.0,,,1.0,128.25,marshadow figure collection,128.25,,
Dragon Shield Matte Blood Red Sleeves [100 Count],,50.0,11.99,20.0,11.99,dragon shield matte blood red sleeves [100 count],239.8,599.5,
Dragon Shield Matte Blue Sleeves [100 Count],,49.0,11.99,20.0,11.0,dragon shield matte blue sleeves [100 count],220.0,587.51,
Dragon Shield Matte Forest Green Sleeves [100 Count],,50.0,11.99,20.0,13.49,dragon shield matte forest green sleeves [100 count],269.8,599.5,
Dragon Shield Matte Jet Sleeves [100 Count],,49.0,11.99,20.0,10.99,dragon shield matte jet sleeves [100 count],219.8,587.51,
Dragon Shield Matte Orange Sleeves [100 Count],,50.0,11.99,20.0,11.09,dragon shield matte orange sleeves [100 count],221.8,599.5,
Dragon Shield Matte Purple Sleeves [100 Count],,50.0,11.99,20.0,11.99,dragon shield matte purple sleeves [100 count],239.8,599.5,
Dragon Shield Matte Silver Sleeves [100 Count],,50.0,11.99,20.0,11.99,dragon shield matte silver sleeves [100 count],239.8,599.5,
Dragon Shield Matte Yellow Sleeves [100 Count],,49.0,11.99,20.0,11.49,dragon shield matte yellow sleeves [100 count],229.8,587.51,
Orbeetle V Box,1.0,,,1.0,64.99,orbeetle v box,64.99,,
Paldea Collection [Fuecoco / Miraidon],1.0,,,1.0,40.0,paldea collection [fuecoco / miraidon],40.0,,
Paldea Evolved Elite Trainer Box,1.0,,,1.0,84.0,paldea evolved elite trainer box,84.0,,
Paldean Fates Tech Sticker Collection,1.0,,,0.0,24.99,paldean fates tech sticker collection,0.0,,
Pokémon GO Mini Tin Display [Sealed],1.0,,,1.0,124.99,pokémon go mini tin display [sealed],124.99,,
Pokémon GO Premier Deck Holder Collection [Dragonite VSTAR],1.0,,,1.0,49.99,pokémon go premier deck holder collection [dragonite vstar],49.99,,
Pokémon GO Tin [Blissey],1.0,,,1.0,24.49,pokémon go tin [blissey],24.49,,
Pokémon GO Tin [Snorlax],1.0,,,1.0,24.99,pokémon go tin [snorlax],24.99,,
Polteageist V Box,1.0,,,1.0,80.75,polteageist v box,80.75,,
Shining Legends Raichu GX Special Collection,1.0,,,1.0,214.99,shining legends raichu gx special collection,214.99,,
Espeon GX Premium Collection,1.0,,,1.0,249.99,espeon gx premium collection,249.99,,
Dominaria United Collector Booster Box,,,,0.0,213.49,dominaria united collector booster box,0.0,,
Fallout Collector Booster Box,,,,0.0,949.75,fallout collector booster box,0.0,,
Shining Legends Pin Collection [Zoroark],1.0,,,1.0,170.0,shining legends pin collection [zoroark],170.0,,
Sword & Shield Elite Trainer Box [Zamazenta],1.0,0.0,74.99,1.0,90.25,sword & shield elite trainer box [zamazenta],90.25,0.0,
Battle Styles Booster Box,1.0,,,1.0,184.99,battle styles booster box,184.99,,
Shining Fates Mad Party Pin Collection [Dedenne],1.0,,,1.0,30.99,shining fates mad party pin collection [dedenne],30.99,,
Shining Legends Pin Collection [Marshadow],1.0,,,1.0,176.0,shining legends pin collection [marshadow],176.0,,
Small But Mighty Premium Collection Box,1.0,,,1.0,351.0,small but mighty premium collection box,351.0,,
Team Up Single Pack Blister [Mimikyu],1.0,,,1.0,119.99,team up single pack blister [mimikyu],119.99,,
Lost Caverns of Ixalan Collector Booster Box,,,,0.0,334.99,lost caverns of ixalan collector booster box,0.0,,
Japanese Terastal Festival ex Booster Box,1.0,,,1.0,113.99,japanese terastal festival ex booster box,113.99,,
Legendary Birds Pin 3-Pack Blister [Zapdos],1.0,,,1.0,129.99,legendary birds pin 3-pack blister [zapdos],129.99,,
Phantom Forces 3-Pack Blister [Darkrai],1.0,,,1.0,299.99,phantom forces 3-pack blister [darkrai],299.99,,
Pokémon Trading Card Game Classic,1.0,,,1.0,244.99,pokémon trading card game classic,244.99,,
Fusion Strike Sleeved Booster Pack,1.0,,,1.0,11.79,fusion strike sleeved booster pack,11.79,,
Return to Ravnica Booster Box,1.0,,,1.0,134.99,return to ravnica booster box,134.99,,
Shining Fates Premium Collection [Shiny Dragapult VMAX],2.0,,,1.0,66.5,shining fates premium collection [shiny dragapult vmax],66.5,,
Ravnica Remastered Collector Booster Box,,,,0.0,369.99,ravnica remastered collector booster box,0.0,,
BREAKthrough Mega Evolution 3-Pack Pin Blister,2.0,,,1.0,129.99,breakthrough mega evolution 3-pack pin blister,129.99,,
Bewear GX Box,2.0,,,1.0,99.75,bewear gx box,99.75,,
2024 Fall Collector Chest,2.0,,,1.0,47.01,2024 fall collector chest,47.01,,
"Evolving Skies Elite Trainer Box [Leafeon, Umbreon, Jolteon & Flareon]",2.0,,,1.0,254.99,"evolving skies elite trainer box [leafeon, umbreon, jolteon & flareon]",254.99,,
The Lord of the Rings: Tales of Middle-earth Collector Booster Box,,,,0.0,839.22,the lord of the rings: tales of middle-earth collector booster box,0.0,,
Japanese Clay Burst Booster Box,2.0,,,1.0,79.99,japanese clay burst booster box,79.99,,
Japanese Shiny Treasure ex High Class Booster Box,2.0,,,1.0,67.99,japanese shiny treasure ex high class booster box,67.99,,
Universes Beyond Assassin's Creed Booster Box,,,,0.0,98.99,universes beyond assassin's creed booster box,0.0,,
Japanese Transformation Mask Booster Box,2.0,,,1.0,53.25,japanese transformation mask booster box,53.25,,
Steam Siege Booster Pack,12.0,12.0,14.49,,,steam siege booster pack,,173.88,
Ancient Origins Booster Pack,0.0,0.0,49.99,,,ancient origins booster pack,,0.0,
Pokemon BW Next Destinies Booster Pack (1x Random Artwork),0.0,,,,,pokemon bw next destinies booster pack (1x random artwork),,,
Burning Shadows Booster Pack,9.0,8.0,14.99,,,burning shadows booster pack,,119.92,
Chilling Reign Booster Pack,47.0,34.0,7.89,,,chilling reign booster pack,,268.26,
Pokemon Chilling Reign Elite Trainer Box (Shadow Calyrex),0.0,,,,,pokemon chilling reign elite trainer box (shadow calyrex),,,
Chilling Reign Pokemon Center Elite Trainer Box [Shadow Calyrex],0.0,0.0,149.99,,,chilling reign pokemon center elite trainer box [shadow calyrex],,0.0,
