name,total amount (4/1),rc_qty,rc_price,shopify_qty,shopify_price,__key__,shopify value,rc value,notes,touched_rc,touched_shopify,rare_find_id,pending_rc_update,inventory_item_id,variant_id,pending_shopify_update,shopify_inventory_id,__orig_idx__,slug
151 Alakazam ex Collection Box,4.0,2.0,64.95,1.0,50.99,151 alakazam ex collection box,137.98,,,True,True,14201.0,False,38413.0,46189039223004.0,False,48287327060188.0,0,151-alakazam-ex-collection-box-aae2dfe2
151 Booster Bundle,7.0,125.0,67.95,92.0,64.99,151 booster bundle,0.0,,,True,True,14088.0,False,38849.0,46188938854620.0,False,48287224889564.0,1,151-booster-bundle-34f57a0a
151 Booster Pack,1200.0,307.0,10.89,271.0,10.49,151 booster pack,999.0,1149.0,,True,True,12134.0,False,38387.0,46188947079388.0,False,48287233343708.0,2,151-booster-pack-d496ee25
151 Elite Trainer Box,1.0,2.0,248.99,2.0,248.99,151 elite trainer box,,,,True,True,14111.0,False,38382.0,46546166677724.0,False,48644382720220.0,3,151-elite-trainer-box-96ddb470
151 Mini Tin [1x Assorted Art],117.0,65.0,25.49,64.0,24.99,151 mini tin [1x assorted art],624.75,424.15,,True,True,12220.0,False,38417.0,46189053771996.0,False,48287342395612.0,4,151-mini-tin-1x-assorted-art-c814f565
151 Mini Tin Display [Sealed],1.0,0.0,279.99,0.0,264.49,151 mini tin display [sealed],,279.99,,True,True,14072.0,False,47502.0,46489126928604.0,False,48587421974748.0,5,151-mini-tin-display-sealed-853343e3
151 Pokemon Center Elite Trainer Box,3.0,0.0,489.99,1.0,504.75,151 pokemon center elite trainer box,,939.98,,True,True,12638.0,False,41052.0,46489127026908.0,False,48587422073052.0,6,151-pokemon-center-elite-trainer-box-d52579cb
151 Poster Collection,8.0,6.0,34.99,6.0,33.25,151 poster collection,0.0,79.98,,True,True,12133.0,False,38386.0,46281852027100.0,False,48380219424988.0,7,151-poster-collection-149dd167
151 Ultra Premium Collection,6.0,1.0,384.99,0.0,382.25,151 ultra premium collection,,,,True,True,14109.0,False,38383.0,46489128403164.0,False,48587423449308.0,8,151-ultra-premium-collection-867610e2
151 Zapdos ex Collection,,2.0,63.99,3.0,44.49,151 zapdos ex collection,,,,True,True,14185.0,False,38408.0,46189047054556.0,False,48287335383260.0,9,151-zapdos-ex-collection-dc876cda
2011 Pokémon Japanese B&W Promo Victory Cup - 1st Place PSA 10 (POP 3),,1.0,45000.0,,,2011 pokémon japanese b&w promo victory cup - 1st place psa 10 (pop 3),,,,True,False,16539.0,False,55105.0,,False,,10,2011-pokmon-japanese-bw-promo-victory-cup-1st-place-psa-10-pop-3-ef59f273
2020 Trainer's Toolkit,,0.0,79.99,1.0,68.49,2020 trainer's toolkit,,,,True,True,16497.0,False,55025.0,46649999458524.0,False,48747009900764.0,11,trainers-toolkit-2020-c1be5fda
2021 Trainers Toolkit,1.0,0.0,34.95,0.0,32.75,2021 trainers toolkit,,29.99,,True,True,14056.0,False,47511.0,46489128501468.0,False,48587423547612.0,12,2021-trainers-toolkit-094af444
2022 Battle Academy,12.0,5.0,13.99,6.0,13.49,2022 battle academy,,59.94,,True,True,14069.0,False,47506.0,46489128599772.0,False,48587423645916.0,13,2022-battle-academy-54df6dfe
2022 World Championship Deck: Ondrej Skubal [ADP],,0.0,21.49,1.0,21.49,2022 world championship deck: ondrej skubal [adp],,,,True,True,16595.0,False,55989.0,46545213161692.0,False,48643440247004.0,14,2022-world-championship-deck-ondrej-skubal-adp-926d019e
2023 Holiday Calendar,1.0,0.0,69.99,1.0,48.75,2023 holiday calendar,45.99,,,True,True,16086.0,False,44656.0,46431420580060.0,False,48529794105564.0,15,pokemon-holiday-calendar-2023-da70f590
2024 Battle Academy,,0.0,24.99,1.0,23.49,2024 battle academy,,,,True,True,16087.0,False,45272.0,46431421038812.0,False,48529794564316.0,16,2024-battle-academy-446a1af8
2024 Holiday Calendar,1.0,1.0,69.99,1.0,62.75,2024 holiday calendar,56.99,,,True,True,15945.0,False,42333.0,46431420448988.0,False,48529793974492.0,17,pokemon-2024-holiday-calendar-4fc1aef7
Ancient Origins Booster Pack,0.0,0.0,54.99,,,ancient origins booster pack,,0.0,,True,False,12086.0,False,38332.0,,False,,18,pokemon-ancient-origins-booster-pack-1x-random-art-0bbf4f3b
